external_gene_name,entrezgene_id
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
GSTM5,2949
STEAP3,55240
STEAP3,55240
SOX12,6666
SOX12,6666
SOX12,6666
SOX12,6666
COQ2,27235
GSTM5,2949
GSTM5,2949
GSTM5,2949
GSTM5,2949
TRDV1,NA
SORT1,6272
TRDV1,NA
SORT1,6272
ERP27,121506
ERP27,121506
ERP27,121506
ERP27,121506
DDX50,79009
DDX50,79009
DDX50,79009
DDX50,79009
DDX50,79009
DDX50,79009
SORT1,6272
STEAP3,55240
STEAP3,55240
STEAP3,55240
STEAP3,55240
GSTM5,2949
ERP27,121506
TRAV24,NA
STEAP3,55240
TRIM3,10612
SORT1,6272
DMTN,2039
SORT1,6272
SORT1,6272
SORT1,6272
SORT1,6272
STEAP3,55240
STEAP3,55240
GSTM5,2949
GSTM5,2949
KRT79,338785
KRT79,338785
TRIM3,10612
KRT79,338785
NDUFA3,4696
TRIM3,10612
TRIM3,10612
TRIM3,10612
TRIM3,10612
SERPINA12,145264
TRIM3,10612
TRIM3,10612
TRIM3,10612
TRIM3,10612
TSSK4,283629
TSSK4,283629
TSSK4,283629
TSSK4,283629
COQ2,27235
RXYLT1,10329
RXYLT1,10329
SERPINA12,145264
COQ2,27235
COQ2,27235
TRIM3,10612
TRIM3,10612
TSSK4,283629
TSSK4,283629
TSSK4,283629
TSSK4,283629
TSSK4,283629
TSSK4,283629
TSSK4,283629
TSSK4,283629
COQ2,27235
ATP4B,496
ATP4B,496
ATP4B,496
ATP4B,496
TSSK4,283629
TSSK4,283629
COQ2,27235
COQ2,27235
DDX50,79009
TSSK4,283629
ERICH6,131831
ERICH6,131831
PABPC5,140886
DDX50,79009
ERICH6,131831
ERICH6,131831
PABPC5,140886
PABPC5,140886
PABPC5,140886
PABPC5,140886
ERICH6,131831
ZNF33B,7582
ERICH6,131831
NDUFA3,4696
AC005041.1,NA
NBDY,550643
GSTM3,2947
GSTM3,2947
GSTM3,2947
GSTM3,2947
GSTM3,2947
GSTM3,2947
GSTM3,2947
GSTM3,2947
RXYLT1,10329
ZNF33B,7582
POM121C,100101267
POM121C,100101267
POM121C,100101267
POM121C,100101267
NBDY,550643
NUGGC,389643
DDX50,79009
DDX50,79009
DDX50,79009
DZANK1,55184
NBDY,550643
AC055811.2,NA
NDUFA3,4696
NBDY,550643
MDP1,145553
MDP1,145553
MDP1,145553
MDP1,145553
MDP1,145553
MDP1,145553
MDP1,145553
MDP1,145553
RXYLT1,10329
ZNF33B,7582
ZNF33B,7582
ZNF33B,7582
ZNF33B,7582
ZNF33B,7582
ZNF33B,7582
ZNF33B,7582
ZNF33B,7582
ZNF33B,7582
ZNF33B,7582
ZNF33B,7582
ZNF33B,7582
ZNF33B,7582
ZNF33B,7582
ZNF33B,7582
ZNF33B,7582
ZNF33B,7582
ZNF33B,7582
ZNF33B,7582
ZNF33B,7582
ZNF33B,7582
PSMC6,5706
PSMC6,5706
PSMC6,5706
PSMC6,5706
POM121C,100101267
POM121C,100101267
POM121C,100101267
POM121C,100101267
BFAR,51283
ZNF33B,7582
BFAR,51283
BFAR,51283
ZNF33B,7582
ZNF33B,7582
NUGGC,389643
BFAR,51283
POM121C,100101267
NDUFA3,4696
BFAR,51283
POM121C,100101267
NDUFA3,4696
NDUFA3,4696
BFAR,51283
GSTM3,2947
GSTM3,2947
GSTM3,2947
GSTM3,2947
GSTM3,2947
GSTM3,2947
GSTM3,2947
GSTM3,2947
NDUFA3,4696
BFAR,51283
ZBTB10,65986
ZBTB10,65986
ZBTB10,65986
PPP2R3A,5523
PPP2R3A,5523
PPP2R3A,5523
PPP2R3A,5523
PPP2R3A,5523
PPP2R3A,5523
GDF3,9573
GDF3,9573
NDUFA3,4696
BFAR,51283
MICB,4277
BFAR,51283
MDP1,145553
MDP1,145553
KCNJ4,3761
KCNJ4,3761
NDUFA3,4696
NDUFA3,4696
GSTM3,2947
GSTM3,2947
GSTM3,2947
NDUFA3,4696
PPP2R3A,5523
PPP2R3A,5523
PPP2R3A,5523
PPP2R3A,5523
MICB,4277
MICB,4277
NRSN2,80023
HLA-DOB,3112
PPP2R3A,5523
PPP2R3A,5523
PPP2R3A,5523
PPP2R3A,5523
ZBTB10,65986
ZBTB10,65986
ZBTB10,65986
ZBTB10,65986
TRIM15,89870
LRRC17,10234
LRRC17,10234
TRIM15,89870
ZBTB10,65986
ZBTB10,65986
ZBTB10,65986
ZBTB10,65986
PPP2R3A,5523
ZNF232,7775
ZNF232,7775
NRSN2,80023
NRSN2,80023
NRSN2,80023
NRSN2,80023
NRSN2,80023
NRSN2,80023
NRSN2,80023
NRSN2,80023
ZBTB10,65986
ZBTB10,65986
ZBTB10,65986
ZBTB10,65986
NRSN2,80023
LRRC17,10234
CCDC80,151887
CCDC80,151887
CCDC80,151887
CCDC80,151887
PSMC6,5706
TRIM15,89870
ZBTB10,65986
ZBTB10,65986
ZBTB10,65986
ZBTB10,65986
LRRC17,10234
NRSN2,80023
NRSN2,80023
